Date,Price,Open,High,Low,Vol.,Change ,RSI,Date2
7/18/2010,0,0,0.10,0.10,0.08,0.00%,,7/18/2010
7/19/2010,0,0.1,0.10,0.10,0.57,0.00%,,7/19/2010
7/20/2010,0,0.1,0.10,0.10,0.26,0.00%,,7/20/2010
7/21/2010,0,0.1,0.10,0.10,0.58,0.00%,,7/21/2010
7/22/2010,0,0.1,0.10,0.10,2.16,0.00%,,7/22/2010
7/23/2010,0,0.1,0.10,0.10,2.4,0.00%,,7/23/2010
7/24/2010,0,0.1,0.10,0.10,0.5,0.00%,,7/24/2010
7/25/2010,0,0.1,0.10,0.10,1.55,0.00%,,7/25/2010
7/26/2010,0,0.1,0.10,0.10,0.88,0.00%,,7/26/2010
7/27/2010,0,0.1,0.10,0.10,3.37,0.00%,,7/27/2010
7/28/2010,0,0.1,0.10,0.10,4.39,0.00%,,7/28/2010
7/29/2010,0,0.1,0.10,0.10,8.06,0.00%,,7/29/2010
7/30/2010,0,0.1,0.10,0.10,3.02,0.00%,,7/30/2010
7/31/2010,0,0.1,0.10,0.10,4.02,0.00%,,7/31/2010
8/1/2010,0,0.1,0.10,0.10,2.6,0.00%,,8/1/2010
8/2/2010,0,0.1,0.10,0.10,3.6,0.00%,,8/2/2010
8/3/2010,0,0.1,0.10,0.10,9.82,0.00%,,8/3/2010
8/4/2010,0,0.1,0.10,0.10,3.49,0.00%,,8/4/2010
8/5/2010,0,0.1,0.10,0.10,5.03,0.00%,,8/5/2010
8/6/2010,0,0.1,0.10,0.10,1.4,0.00%,,8/6/2010
8/7/2010,0,0.1,0.10,0.10,2.62,0.00%,,8/7/2010
8/8/2010,0,0.1,0.10,0.10,2.2,0.00%,,8/8/2010
8/9/2010,0,0.1,0.10,0.10,13.63,0.00%,,8/9/2010
8/10/2010,0,0.1,0.10,0.10,1.31,0.00%,,8/10/2010
8/11/2010,0,0.1,0.10,0.10,14.06,0.00%,,8/11/2010
8/12/2010,0,0.1,0.10,0.10,2.06,0.00%,,8/12/2010
8/13/2010,0,0.1,0.10,0.10,3.59,0.00%,,8/13/2010
8/14/2010,0,0.1,0.10,0.10,4.4,0.00%,,8/14/2010
8/15/2010,0,0.1,0.10,0.10,4.46,0.00%,,8/15/2010
8/16/2010,0,0.1,0.10,0.10,10.73,0.00%,,8/16/2010
8/17/2010,0,0.1,0.10,0.10,13.19,0.00%,,8/17/2010
8/18/2010,0,0.1,0.10,0.10,2.95,0.00%,,8/18/2010
8/19/2010,0,0.1,0.10,0.10,0.74,0.00%,,8/19/2010
8/20/2010,0,0.1,0.10,0.10,4.2,0.00%,,8/20/2010
8/21/2010,0,0.1,0.10,0.10,10.44,0.00%,,8/21/2010
8/22/2010,0,0.1,0.10,0.10,18.65,0.00%,,8/22/2010
8/23/2010,0,0.1,0.10,0.10,4.3,0.00%,,8/23/2010
8/24/2010,0,0.1,0.10,0.10,6.71,0.00%,,8/24/2010
8/25/2010,0,0.1,0.10,0.10,4.23,0.00%,,8/25/2010
8/26/2010,0,0.1,0.10,0.10,3.87,0.00%,,8/26/2010
8/27/2010,0,0.1,0.10,0.10,9.01,0.00%,,8/27/2010
8/28/2010,0,0.1,0.10,0.10,6.17,0.00%,,8/28/2010
8/29/2010,0,0.1,0.10,0.10,3.17,0.00%,,8/29/2010
8/30/2010,0,0.1,0.10,0.00,34.19,0.00%,,8/30/2010
8/31/2010,0,0.1,0.10,0.10,14.89,0.00%,,8/31/2010
9/1/2010,0,0.1,0.10,0.10,7.17,0.00%,,9/1/2010
9/2/2010,0,0.1,0.10,0.10,8.15,0.00%,,9/2/2010
9/3/2010,0,0.1,0.10,0.10,0.89,0.00%,,9/3/2010
9/4/2010,0,0.1,0.10,0.10,3.3,0.00%,,9/4/2010
9/5/2010,0,0.1,0.10,0.10,8.46,0.00%,,9/5/2010
9/6/2010,0,0.1,0.10,0.10,0.91,0.00%,,9/6/2010
9/7/2010,0,0.1,0.10,0.10,3.46,0.00%,,9/7/2010
9/8/2010,0,0.1,0.10,0.10,2.35,0.00%,,9/8/2010
9/9/2010,0,0.1,0.10,0.10,1.73,0.00%,,9/9/2010
9/10/2010,0,0.1,0.10,0.10,4.94,0.00%,,9/10/2010
9/11/2010,0,0.1,0.10,0.10,7.75,0.00%,,9/11/2010
9/12/2010,0,0.1,0.10,0.10,0.79,0.00%,,9/12/2010
9/13/2010,0,0.1,0.10,0.10,10.08,0.00%,,9/13/2010
9/14/2010,0,0.1,0.20,0.10,14.02,0.00%,,9/14/2010
9/15/2010,0,0.1,0.10,0.10,3.65,0.00%,,9/15/2010
9/16/2010,0,0.1,0.10,0.10,0.73,0.00%,,9/16/2010
9/17/2010,0,0.1,0.10,0.10,7.26,0.00%,,9/17/2010
